,rank,learning_rate,Train Loss,Train Perplexity,Validation Loss,Validation Perplexity,Estimated Flops
0,2,1e-05,0.9629353880882263,2.6193740790044093,0.890285652478536,2.435825351469832,1195577966592000
1,2,5e-05,0.7951856851577759,2.2148522238081454,0.7262294630209605,2.0672711716442618,1195577966592000
2,2,0.0001,0.9011812210083008,2.4625101626210477,0.6893306974569956,1.9923815808253251,1195577966592000
3,4,1e-05,0.9192798733711243,2.5074840335876387,0.8280030818780263,2.288743739983076,1196634931200000
4,4,5e-05,0.7736035585403442,2.1675631377404834,0.7007395784060161,2.015242586361195,1196634931200000
5,4,0.0001,0.611469030380249,1.843137035263732,0.6669329869747161,1.9482528312636058,1196634931200000
6,8,1e-05,0.9214004874229431,2.5128070815342993,0.7837346378962199,2.189634506510869,1198748860416000
7,8,5e-05,0.7803782820701599,2.1822976334438953,0.6759646499156952,1.9659284943233595,1198748860416000
8,8,0.0001,0.6684014797210693,1.9511159281183448,0.654527571996053,1.9242332409403027,1198748860416000
